outlook,temp,humidity,windy,play
sunny,hot,high,false,no
sunny,hot,high,true,no
overcast,hot,high,false,yes
rainy,mild,high,false,no
rainy,cool,normal,false,no
rainy,cool,normal,true,no
overcast,cool,normal,true,yes
sunny,mild,high,false,no
sunny,cool,normal,false,no
rainy,mild,normal,false,no
sunny,mild,normal,true,yes
overcast,mild,high,true,yes
overcast,hot,normal,false,yes
rainy,mild,high,true,no
sunny,hot,high,false,no
overcast,hot,high,false,yes
overcast,cool,normal,true,yes
rainy,mild,normal,false,no
sunny,hot,high,false,no
sunny,hot,high,true,no
overcast,hot,high,false,yes
rainy,mild,high,false,no
rainy,cool,normal,false,no
rainy,cool,normal,true,no
overcast,cool,normal,true,yes
sunny,mild,high,false,yes
sunny,cool,normal,false,yes
rainy,mild,normal,false,no
sunny,mild,normal,true,yes
overcast,mild,high,true,yes
overcast,hot,normal,false,yes
rainy,mild,high,true,no
sunny,hot,high,false,no
overcast,hot,high,false,no
overcast,cool,normal,true,yes
rainy,mild,normal,false,no